"cd_com","la_com","ll_com","id_province","cycle"
"4010107","ورزازات ","Ouarzazate","18284Y","ورزازات"
"4010109","تازناخت ","Taznakht","18284Y","أمرزكان"
"4010301","أيت زينب","Ait Zineb","18284Y","أمرزكان"
"4010303","امرزكان","Amerzgane","18284Y","أمرزكان"
"4010305","ازناكن","Iznaguen","18284Y","أمرزكان"
"4010307","اغرم نوكدال","Ighrem N'Ougdal","18284Y","أمرزكان"
"4010309","خزامة","Khouzama","18284Y","أمرزكان"
"4010311","وسلسات","Ouisselsate","18284Y","أمرزكان"
"4010313","سروا","Siroua","18284Y","أمرزكان"
"4010315","تلوات","Telouet","18284Y","أمرزكان"
"4010317","تيدلي","Tidli","18284Y","أمرزكان"
"4010701","غسات","Ghassate","18284Y","ورزازات"
"4010703","ادلسان","Idelsane","18284Y","ورزازات"
"4010705","امي نولاون","Imi N'Oulaoune","18284Y","ورزازات"
"4010707","سكورة أهل الوسط","Skoura Ahl El Oust","18284Y","ورزازات"
"4010709","ترميكت","Tarmigt","18284Y","ورزازات"
"4010711","توندوت","Toundoute","18284Y","ورزازات"
