"code_commune","nom_etab_ar","nom_etab_fr","code_etab","cycle"
"4010307","الثانوية التأهيلية الامام علي","LYCEE QUALIFIANT   IMAM ALI","26258R","Qualifiant"
"4010301","الثانوية التأهيلية ايت زينب","LYCEE QUALIFIANT AIT ZINEB","26239V","Qualifiant"
"4010109","الثانوية التأهيلية الرازي","LYCEE QUALIFIANT  ERRAZI","21895Y","Qualifiant"
"4010109","الثانوية التأهيلية الخوارزمي","LYCEE QUALIFIANT EL KHAWARIZMI","27394A","Qualifiant","","إ"
"4010709","الثانوية التأهيلية الامام مالك","LYCEE QUALIFIANT   IMAM MALIK","26257P","Qualifiant"
"4010709","الثانوية التأهيلية ابو بكر الصديق","LYCEE QUALIFIANT   ABOU BAKR SEDDIK","24086E","Qualifiant"
"4010711","الثانوية التأهيلية تندوت ","LYCEE QUALIFIANT  TOUNDOUTE","26515V","Qualifiant"
"4010707","الثانوية التأهيلية ابي القاسم","LYCEE QUALIFIANT  ABI EL KACEM","13510J","Qualifiant"
"4010107","الثانوية التأهيلية ابن الهيثم التقنية","LYCÉE QUALIFIANT TECHNIQUE IBN AL-HAITAM","13508G","Qualifiant"
"4010107","الثانوية التأهيلية مولاي رشيد","LYCEE QUALIFIANT  MOULAY RACHID","13512L","Qualifiant"
"4010107","الثانوية التأهيلية محمد السادس ","LYCEE QUALIFIANT MOHAMMED VI","13507F","Qualifiant"
"4010107","الثانوية التأهيلية سيدي داود","LYCEE QUALIFIANT  SIDI DAOUD","13511K","Qualifiant"
"4010107","الثانوية التأهيلية انوال ","LYCEE QUALIFIANT  ANOUAL ","26514U","Qualifiant"
"4010703","الثانوية الإعدادية ادلسان","LYCEE COLLEGIAL IDELSAN","24851L","Collègial"
"4010305","الثانوية الاعدادية ادريس الاول","LYCEE COLLEGIAL IDRISS ALAOUAL","26215U","Collègial"
"4010307"," الثانوية الإعدادية الاطلس الكبير","LYCÉE COLLEGIAL ELATLAS ELKABIR ","23681P","Collègial"
"4010303","الثانوية الاعدادية بن زيدون","LYCÉE COLLEGIAL IBNO ZAYDOUNE","26303P","Collègial"
"4010705","الثانوية الإعدادية اي امي نولاون","LYCEE COLLEGIAL IMINOULAOUENE","25230Y","Collègial"
"4010705","الثانوية الإعدادية إمزري","LYCEE COLLEGIAL IMEZRI","27722G","Collègial"
"4010301","الثانوية الإعدادية بن تومرت","LYCÉE COLLEGIAL IBN TOUMERT","13500Y","Collègial"
"4010109","الثانوية الإعدادية  بن العربي الحاتمي","LYCÉE COLLEGIAL IBN ARABI EL HATIMI","13517S","Collègial"
"4010709","الثانوية الإعدادية القاضي عياض","LYCÉE COLLEGIAL CADI AYAD","13501Z","Collègial"
"4010709"," الثانوية الإعدادية ابن رشد"," LYCÉE COLLEGIAL IBNO ROCHDE","26189R","Collègial"
"4010709"," الثانوية الإعدادية طارق بن زياد","LYCÉE COLLÉGIAL TARIQ IBN ZIYAD","29097B","Collègial"
"4010709","الثانوية الاعدادية بدر","LYCÉE COLLEGIAL BADR","22831R","Collègial"
"4010315","الثانوية الإعدادية تيشكا","LYCÉE COLLEGIAL TICHKA","24665J","Collègial"
"4010711","ثإ الاعدادية الشهيد المدني شفيق","LYCÉE COLLEGIAL ACHAHID ELMADANI CHAFIK","13503B","Collègial"
"4010317","الثانوية الإعدادية المختار السوسي","LYCEE COLLEGIAL ELMOKHTAR ESSOUSSI","24848H","Collègial"
